Time,Data
0.342 sec,-1.70190486013193
0.343 sec,-1.70066131480847
0.344 sec,-1.69932132741333
0.345 sec,-1.69788484551318
0.346 sec,-1.69635182622603
0.347 sec,-1.6947222362276
0.348 sec,-1.69299605175672
0.349 sec,-1.69117325861978
0.35 sec,-1.68925385219425
0.351 sec,-1.68723783743126
0.352 sec,-1.68512522885721
0.353 sec,-1.68291605057449
0.354 sec,-1.68061033626119
0.355 sec,-1.67820812916991
0.356 sec,-1.67570948212565
0.357 sec,-1.67311445752266
0.358 sec,-1.67042312732047
0.359 sec,-1.66763557303889
0.36 sec,-1.66475188575206
0.361 sec,-1.66177216608167
0.362 sec,-1.65869652418907
0.363 sec,-1.65552507976659
0.364 sec,-1.65225796202782
0.365 sec,-1.64889530969701
0.366 sec,-1.64543727099745
0.367 sec,-1.64188400363907
0.368 sec,-1.63823567480488
0.369 sec,-1.63449246113669
0.37 sec,-1.63065454871973
0.371 sec,-1.62672213306644
0.372 sec,-1.62269541909931
0.373 sec,-1.6185746211327
0.374 sec,-1.61435996285387
0.375 sec,-1.61005167730301
0.376 sec,-1.6056500068523
0.377 sec,-1.60115520318414
0.378 sec,-1.59656752726839
0.379 sec,-1.59188724933873
0.38 sec,-1.58711464886807
0.381 sec,-1.58225001454308
0.382 sec,-1.57729364423774
0.383 sec,-1.5722458449861
0.384 sec,-1.56710693295399
0.385 sec,-1.56187723340994
0.386 sec,-1.55655708069511
0.387 sec,-1.55114681819239
0.388 sec,-1.54564679829457
0.389 sec,-1.54005738237159
0.39 sec,-1.53437894073698
0.391 sec,-1.52861185261328
0.392 sec,-1.52275650609675
0.393 sec,-1.51681329812103
0.394 sec,-1.51078263442001
0.395 sec,-1.50466492948985
0.396 sec,-1.49846060655002
0.397 sec,-1.49217009750363
0.398 sec,-1.48579384289672
0.399 sec,-1.47933229187684
0.4 sec,-1.4727859021507
0.401 sec,-1.46615513994095
0.402 sec,-1.45944047994219
0.403 sec,-1.45264240527608
0.404 sec,-1.44576140744559
0.405 sec,-1.43879798628849
0.406 sec,-1.43175264992994
0.407 sec,-1.42462591473428
0.408 sec,-1.41741830525603
0.409 sec,-1.41013035419001
0.41 sec,-1.40276260232069
0.411 sec,-1.39531559847074
0.412 sec,-1.38778989944875
0.413 sec,-1.38018606999618
0.414 sec,-1.37250468273346
0.415 sec,-1.36474631810544
0.416 sec,-1.35691156432586
0.417 sec,-1.34900101732121
0.418 sec,-1.34101528067379
0.419 sec,-1.33295496556388
0.42 sec,-1.32482069071135
0.421 sec,-1.31661308231635
0.422 sec,-1.30833277399931
0.423 sec,-1.29998040674024
0.424 sec,-1.29155662881725
0.425 sec,-1.2830620957443
0.426 sec,-1.27449747020832
0.427 sec,-1.26586342200553
0.428 sec,-1.25716062797712
0.429 sec,-1.24838977194414
0.43 sec,-1.23955154464174
0.431 sec,-1.23064664365274
0.432 sec,-1.22167577334046
0.433 sec,-1.2126396447809
0.434 sec,-1.20353897569425
0.435 sec,-1.19437449037571
0.436 sec,-1.18514691962565
0.437 sec,-1.17585700067917
0.438 sec,-1.16650547713493
0.439 sec,-1.15709309888343
0.44 sec,-1.14762062203456
0.441 sec,-1.13808880884458
0.442 sec,-1.12849842764255
0.443 sec,-1.11885025275596
0.444 sec,-1.10914506443595
0.445 sec,-1.09938364878185
0.446 sec,-1.08956679766508
0.447 sec,-1.0796953086526
0.448 sec,-1.06976998492963
0.449 sec,-1.05979163522195
0.45 sec,-1.04976107371751
0.451 sec,-1.0396791199876
0.452 sec,-1.02954659890738
0.453 sec,-1.01936434057597
0.454 sec,-1.00913318023593
0.45489 sec,-0.999999999999988
0.45489 sec,-0.999999999998814
0.45589 sec,-0.989682849830722
0.45689 sec,-0.979321456779866
0.45789 sec,-0.968918706746145
0.45889 sec,-0.958475502134825
0.45989 sec,-0.947992747768697
0.46089 sec,-0.937471350795976
0.46189 sec,-0.926912220598341
0.46289 sec,-0.916316268699039
0.46389 sec,-0.905684408671147
0.46489 sec,-0.895017556045961
0.46589 sec,-0.884316628221501
0.46689 sec,-0.873582544371193
0.46789 sec,-0.862816225352671
0.46889 sec,-0.85201859361677
0.46989 sec,-0.841190573116655
0.47089 sec,-0.830333089217151
0.47189 sec,-0.819447068604261
0.47289 sec,-0.808533439194836
0.47389 sec,-0.797593130046481
0.47489 sec,-0.786627071267648
0.47589 sec,-0.775636193927928
